id,nome,cpf,data_nasc,conta,compro_em,compro_facul,cnh,mba
1,Dee dee Youson,743.389.883-45,04/04/1967,36059-73,false,true,false,true
2,Trudey Berlin,901.616.702-93,22/07/1977,10086-80,true,true,true,true
3,Patrice Abraham,271.474.148-50,18/02/1974,18384-41,true,true,false,true
4,Dorette Cullen,413.632.835-13,08/08/1980,62522-20,true,true,true,true
5,Buiron O'Cahsedy,154.965.528-49,18/01/1984,40095-48,true,true,false,true
6,Arturo Jonczyk,258.226.273-09,22/07/1970,06220-18,false,true,true,false
7,Beck Bosward,796.284.596-70,04/09/1969,34080-08,true,true,true,true
8,Lind Beer,944.829.006-33,05/05/1967,12748-83,true,false,false,true
9,Jayne Hullyer,026.413.048-66,26/11/1975,51864-72,true,true,true,true
10,Tuck Towll,989.253.148-60,18/04/1984,56276-49,true,true,false,false
11,Tatiania Chadney,418.669.622-44,01/08/1985,53942-07,true,false,true,false
12,Spense Boniface,691.966.522-23,09/04/1987,45284-39,true,true,false,false
13,Aurore Rallings,104.613.456-10,07/04/1954,16425-98,false,false,false,false
14,Karola Zienkiewicz,236.233.557-96,11/08/2002,07924-87,true,false,true,true
15,Annabelle McIvor,358.000.274-94,06/03/1977,93009-39,true,true,false,false
16,Udall Patterson,585.936.058-00,20/02/1972,19386-28,true,false,true,true
17,Bathsheba Kenyon,473.129.977-14,20/06/1991,70678-46,true,true,false,true
18,Eva Bagehot,420.273.541-33,05/07/1972,84377-57,false,true,false,true
19,Loydie McFater,024.993.642-35,26/07/1986,70347-45,true,false,true,false
20,Eloise Landreth,594.479.106-64,06/03/1954,32517-92,true,false,false,false
21,Menard Mithun,253.312.596-73,29/10/1967,00116-21,false,true,false,false
22,Lanni Ilewicz,873.109.733-01,31/05/1987,80944-85,false,false,false,false
23,Rubia Measham,281.846.011-03,28/09/1992,37424-95,false,false,true,false
24,Charmion Cockrem,070.514.748-05,22/02/2001,97209-51,false,true,true,false
25,Gerome De Carlo,689.365.649-50,28/05/2001,82033-58,true,false,true,true
26,Mycah Phant,689.319.013-36,29/11/1967,50039-59,false,true,true,false
27,Benetta Toms,810.677.065-71,25/05/1954,89651-19,false,true,false,true
28,Marcus Ashpole,191.777.415-40,31/01/1974,02016-79,true,false,true,true
29,Karilynn Raymond,650.113.474-21,18/07/1957,91737-81,true,true,false,true
30,Arlette Rowantree,488.768.849-13,08/02/1969,09314-89,true,true,false,false
